Query_ID,Query_Title,Neighbor_1_ID,Neighbor_1_Title,Neighbor_1_Similarity,Neighbor_2_ID,Neighbor_2_Title,Neighbor_2_Similarity,Neighbor_3_ID,Neighbor_3_Title,Neighbor_3_Similarity,Neighbor_4_ID,Neighbor_4_Title,Neighbor_4_Similarity,Neighbor_5_ID,Neighbor_5_Title,Neighbor_5_Similarity
dd959d45f5f3b5cf892ccc43130ccded,Licensed Practical Nurse LPN PRN,041478fc0e8e49caeabbf902650ec5b9,RN Registered Nurse,0.9761,7ddf82fbf96af50e014f3a3bb2c30d19,LPN Licensed Practical Nurse PRN,0.9721,72d8bdb46788c7366ec29bd738fb4662,LPN Licensed Nurse,0.9575,b881326456377bc5a13fa3756e8f9a45,RN Registered Nurse Part Time,0.9522,6825074329b8a4888edb112c2b6fce1c,"LPN Licensed Nurse, PRN",0.9363
f3e863e4734fd527a4db43d1857da00d,Physician Radiology,d0e20ce3b1b610bec438e0831ac729db,Physician Radiology,0.9982,5ee210974897a1e0fd9ecdd208147baa,Hospitalist Physician,0.8949,e69c4462b3a53f96c73ba43ff53c1138,"Family Practice - Travel MD - Meadville, PA - - 1489830 - Excellent Benefits 2025-01-05",0.8681,6fb68d1abf4fa6d5353f787d592a993e,Physician Psychiatry,0.8669,ed8b6f4c4d3471581ce13d071b64e0c7,Physician Psychiatry,0.8642
db116696d8eec84590d4f8aa68abcb00,Travel Nurse RN - Labor and Delivery - per week,336ab7a05e40d0fcf377f8a7f3970aa6,Travel Nurse RN - Labor and Delivery - per week,0.9176,b476e8b46074a40d6ba00dd577150291,"Travel Nurse RN - Labor and Delivery - $1,560 per week",0.9166,55cc9b12d68c9224d4463d28f83097fd,"Travel Nurse RN - OR - Operating Room - $1,889 per week",0.9089,8c4a1b9263c0a6cc5c6984fb1cd37cb3,Travel Nurse RN - Labor and Delivery - per week,0.9078,0da04ce4f9284951c7eb930f652dd5aa,Travel Nurse RN - OR - Operating Room - per week,0.8996
480ff4318a59a57961c0d0593c557d22,Truck Driver - Hiker/Vehicle Transporter/CDL - Part Time,8b9b981bebae460cf612714f07bbed98,Truck Driver - Hiker/Vehicle Transporter/CDL - Part Time,1.0,f32a6592d11eb84fe17ad9422a33b14d,Truck Driver - Hiker/Vehicle Transporter/CDL - Part Time,0.9995,2bd347bf01b7808c4fcfc922c33149ff,Truck Driver - Hiker/Vehicle Transporter/CDL - Part Time,0.9994,e0a7ada817bcc005a87fa41b41f1297b,Truck Driver - Hiker/Vehicle Transporter/CDL - Part Time,0.9994,4217c8ce66789d8edf2fcdbaf83d968e,Casual Part-Time CDL Vehicle Transporter ( in minutes),0.9994
ba808663974fc3b5e3b8b88bd4bc674f,Research Project Coordinator CAN Lab,c40cb55f0d4b9f0d19d82c1ad2746f79,Research Coordinator - CAN Lab,1.0,816f60dccb0333948456afb4aa7ee513,Laboratory Coordinator/Instructor,0.9985,eb75e3bb754a35b091b8ea2ecbd06d09,Research Assistant/Aletraris,0.9983,dbea991eba0afbcd92bfbfbdd8effcae,Sr. Research Associate,0.9983,388d91589a601fdcca81776ac8248c40,Research Assistant - VR/AR Programmer,0.9982
eab214959201bd7ae6298a140c391f53,Nursing Assistant (CNA),49a9bfb461d221a127447f52a409dda6,Certified Nursing Assistant (CNA),0.9205,56a7c7f40d815482c9cec19f87ddc0fb,Certified Nursing Assistant (CNA),0.9196,991581b2837fb5fdfbb3ecc41e0d4420,Aide-Certified Nurse,0.9132,0799c7190160cba9cf94c864d2169b1a,Certified Nursing Assistant (CNA),0.913,d4043f14a42c81ba2ba1276005f8438b,Certified Nursing Assistant (CNA),0.9085
17700ff8cb88a57520745be29c7fddf9,Hospital Veterinarian,293b9f88755138677fff34f528c96fc2,Hospital Veterinarian,1.0,3804a88c36e710d4c671b17c3354d815,Veterinarian,1.0,bb1df07cd6018f4eeafc18c5584f296b,Hospital Veterinarian I,1.0,ccc86331bbb2f26b621ac6397319196e,Hospital Veterinarian,1.0,384cb30cccfd91dec76bafd54ca1076c,Veterinarian Medical Leader,1.0
ec6f23605c305603cff9c0767493320c,Physician Cardiology,07ca359126efbc479dcb5d02d2375eee,Physician Anesthesiology,0.94,180b1cfca093f5562a2d9c6c3ceb0a38,Physician Anesthesiology,0.94,144a99adaf1a15e1cca8944943d7be24,Physician Neurology,0.8927,4b4dd0184ed8c8378f1541a0cbd8980c,Physician Anesthesiology,0.8829,55f7f102b0cb95f4c7ec99befa7cefa3,Physician Psychiatry,0.8796
86c8346673b4c4278a9d40f171a88802,Full Time - Sales Associate - Outside Lawn & Garden - Day,4c35c04aeb683869712e5547d72fc848,Retail Sales – Part Time,1.0,3684f54760570ad79bbb9cd7e1bfca55,Part Time - Sales Associate - Flexible,1.0,57bf99792772870891ef177488426df3,Retail Sales – Part Time,1.0,86c8346673b4c4278a9d40f171a88802,Full Time - Sales Associate - Outside Lawn & Garden - Day,1.0,346b5b930b8bf793d2b1e8eb551b8175,Full Time - Sales Associate - ProServices - Day,1.0
790a47dcdc9d5dbe159bd0a864b46e8b,Sales Associate,f5d6167c82f590177bc3aa9a24b4270d,Residential Sales Representative,0.8654,269ab48a072db57fd499ccef17192766,Sales Representative (Appointment Setting + Zoom Conference),0.8596,420a76440776f8db9f0b94184d231f94,Fully Remote Sales Representative - Entry Level,0.8553,ff2526d31accb864d2e80463029dbfd3,Sales Consultant - Trade Windows and Doors,0.8527,f59a1b7173d19b7994a48f36bb26663c,Global Sales Executive,0.8413
