Query_ID,Query_Title,Neighbor_1_ID,Neighbor_1_Title,Neighbor_1_Similarity,Neighbor_2_ID,Neighbor_2_Title,Neighbor_2_Similarity,Neighbor_3_ID,Neighbor_3_Title,Neighbor_3_Similarity,Neighbor_4_ID,Neighbor_4_Title,Neighbor_4_Similarity,Neighbor_5_ID,Neighbor_5_Title,Neighbor_5_Similarity
144230b47af91b9382b111adfda0dc6b,Travel Nurse RN - Cardiac Cath Lab - per week,7105f589c19c1d789de53f118d4e4c68,Travel Nurse RN - Cardiac Cath Lab - per week,0.997,139b0e552a452fca480b3bdf1cddf43c,Travel Nurse RN - Cardiac Cath Lab - per week,0.993,af1ba23542e8c26636b231912e5e50e5,Travel Nurse RN - Cardiac Cath Lab - per week,0.9874,3675829a9b9ac3f1da2d7e9580be7014,Travel Nurse RN - Orthopedics - per week,0.9823,8ce744d3c7ac2c5dc24405c8d3f3098b,Travel Nurse RN - Med Surg - per week,0.9722
2920d695d8e27a97b639d81e8286be4b,Travel MRI Technologist - per week,1ff99c4c5726106067a5ba8806eaf078,Travel CT Technologist - per week,0.9656,8dfa4a709f1b9691212e38d564fbace2,Travel Radiology Technician - per week,0.9653,12a1d59540471fd2fb4a972dba809229,Travel CT Technologist - per week,0.9527,e0aded48d3bcad9d3327796fb2a54344,Travel Medical Lab Technician - per week,0.9481,764f4d27c0a6afb1b30a7cc674ab85bc,Travel Nuclear Medicine Technologist - per week,0.9471
0eb8a57971df2a1377a3ce2c746fe5fe,RN Director of Nursing Home Health,ea3e67cec4162498fcfde0f7df1ab57b,RN Clinical Manager (Home Health),0.9768,8a8757441637777bedadc5cc1370e52b,Advanced Registered Nurse,0.9412,56157ad53fae07a9703558490d84dbaf,Director of Nursing,0.9111,cd456845cefe175ee1ddef1fd290b573,RN Home Health -Per diem,0.9099,da0b31154499ea35287e7df6b26941fd,"RN Home Health, FT",0.886
bc6516bf6d7bda97504725e6bb50e255,"Travel Physical Therapist (PT) - Oakland, TN - $1,678 per week - 01/05/25",1c32b305e53e64890cf9176ceb2f5430,"Travel Physical Therapist (PT) - Germantown, TN - $1,722 per week - 01/05/25",0.9979,f63ea6d2dd3ed3cfb660b5af577fa049,"Travel Physical Therapist (PT) - Dalton, GA - $1,772 per week - 01/05/25",0.9973,85b962f0753186a77a92125914444474,"Travel Physical Therapist (PT) - Columbia, SC - $1,677 per week - 01/05/25",0.9965,45560a32f5517b7ff8da1a6a595d679d,"Travel Physical Therapist (PT) - Swannanoa, NC - $1,832 per week - 01/05/25",0.9954,ead85142a274fd6376e89051cf5556d6,"Travel Physical Therapist (PT) - Paducah, KY - $2,046 per week - 01/05/25",0.9951
0ac0b4a483ce230cd6796d19589c7224,Peer Support Specialist - Power Center,179e675a5aacf8101c5480f8b71a2b6c,Peer Recovery Specialist - Crisis Stabilization,0.949,3dbb1c770f40ff96bd1e6ea127f75572,Part Time Peer Specialist,0.9398,dc3e3cc67009a9f45738214e213a55f2,Peer Specialist,0.9398,3ff95971fb40c3cd48149cbf1fcac08a,Peer Specialist,0.9398,0fb4073bc59a19f90609c09184998fd2,Part Time Peer Specialist,0.9398
7aba892078ad62777f2707fa7a651b47,Licensed Practical Nurse,e88e5e6b3615364307012dbd569d3e17,Licensed Practical Nurse,0.9766,6552ae64a82665a7f1dd536931679e98,Licensed Practical Nurse,0.97,9576e39d81f4507544dcd95961023a30,Licensed Practical Nurse,0.9538,467b873e6eca49dc64f37d35a77385ad,Licensed Practical Nurse,0.9426,f78faae0a59e2137fe219f341ab8d358,Registered Nurse,0.9334
667f3fdb0e6eb4d56de6facf950ec4a8,Travel Nurse RN - OR - Operating Room - per week,4297d78d38a27b7fee60648e06a707cd,Travel Nurse RN - OR - Operating Room - per week,1.0,3e4b160cca548d596221e97dbdb0d19b,Local or Travel Registered Nurses / RN - Contract and Perm,0.9974,7e85409a64e416e6d956c3d5a3d6644d,Travel Nurse Operating Room RN Evenings Shift,0.997,761b7c58f24a9fd71ff6b6fc7ec4f8de,Travel Nurse RN - Endoscopy - per week,0.9964,2141d4f729d58f2840f81f07c6440e16,"Travel Nurse RN - CVOR - $3,705 per week",0.9955
713ea781a095cfca649bbea0e6cac76b,"Travel Histo Tech in Charlotte, NC",0a881ea3278545dbac96a3a0a8910e4b,Server - Brookdale Lakewood AL (NY),0.7702,03857040ed01541984f9a4e7c0fcb30d,CNA Cardiac Medical ICU,0.7545,e8f4a7f6daf64a2dd28f6de6ac2e36e7,AZ- RN-FLOAT-ICU/ED/MSU,0.7315,ebf8bd979ad4725f2637f450f3c730fa,Full or Part Time Licensed Practical Nurse Charge Nurse - Skilled Nursing,0.7225,9ded755ba4c59cb0c4384dbc816112d5,Nursing Assistant,0.7108
a5ff9af0f185f4502314670d40bba5b7,Agent de Petite Enfance H/F,595e2b430e81f18dd125009747c5c51c,Agent de Petite Enfance H/F,1.0,9f1719966e0cf8ce6a6c6df8f65ebfd1,Agent de puériculture,0.9911,f69089acf6338c6315d4b8b245fa491d,Référent Technique H/F,0.9894,816ddaa88109440693f2b72c5826480b,Éducateur(trice) à la petite enfance,0.617,325db0f5f46700997237b44a9538954a,Technicien de maintenance H/F,0.5219
10a4937c735e80ddcc71f19d3471c0e0,"Registered Nurse, RN - Progressive Care Unit (PCU) Full Time Nights",39cb32df3c0375d4d04f45fcd4f0f7a0,"Travel Nurse RN - PCU - Progressive Care Unit - $1,972 per week",0.8689,cd7aae66cf21c3db59794954e0c99c49,Travel Nurse RN - PCU - Progressive Care Unit - per week,0.8647,4ba624add646ddec2aa79bc497874e73,"Registered Nurse, RN - Short Stay Unit (SSU), Nights",0.8626,b62f29f31f8d9181ff6d89cb95b89b16,Travel Nurse RN,0.8592,551778c1a401afc7b38054714b508836,Travel Nurse RN - PCU - Progressive Care Unit - per week,0.8583
58211c197f65e74d7f1d34d6b0100947,Palliative Care RN - Advanced Illness Management,b5382263abbc8d82c4402bfa95dd8c7d,Palliative Care RN - Advanced Illness Management,1.0,53a18d547cad9b312c34efcaf2aab993,Palliative Care RN - Advanced Illness Management,1.0,d1ecf44a6a5135c425a7c0906c5fd975,Palliative Care RN - Advanced Illness Management,1.0,5492d9c61d6b3942c7ea6546f0350ea2,Palliative Care RN - Advanced Illness Management,1.0,4238ad12a89d05f17ebde7f475b36fb4,Palliative Care RN - Advanced Illness Management,1.0
abd65854be14c6e03b17a92f5b70bd4e,Server,6ecd5c90aaac94d8e587b48504832405,Server,0.9542,cbc7b4e208c1597175817c052a40dbf2,Team Member,0.9475,f33cf36768e237f4c2cb9cf2212a4632,Server,0.9469,8a195a5544b4937a940e8fabd4ba56e1,Host - Legends Bar & Grill,0.9453,1dc547af111e63dca2e4ad12cf46ee11,Assistant Manager,0.9372
1c07e304551c4017ced73f5a708abebd,Oncology Registered Nurse,ed48feeb7f0f92c263387ee2929bc8e3,Local Contract Nurse RN - Oncology,0.8427,bcb82d5253adee6106bf1a8cc0549f05,Travel Nurse (RN) Oncology  (ONC Unit),0.8109,b60717f53f28fa1de32febe3e1809a2b,Local Contract Nurse RN - Infusion,0.8056,f5f55d3718c380a64ec5528b85425dd3,Oncology Infusion RN St. Paul,0.7715,813616c2511e62f34939c2e253cc33dc,"Registered Nurse, Oncology with ONS certification",0.7594
ed1f8179273261d682153d1802643447,"Occupational Therapist - near Prospect Heights, Illinois",632fbfc7e9adf795300beabebb3cfada,"Occupational Therapist School in South Holland, IL (Hiring",0.9497,e4f19c593e2f523763baf75d6697ee1d,"School-Based Occupational Therapist (OT) Hiring in Cicero, IL",0.9409,aacf66dc870c3d0f2eddcd3545a31d80,"Occupational Therapist (OT) - Leave Coverage - Braodview, IL",0.9371,f7ad2743411b01603f20d90103a3fdb5,"Pediatrics Occupational Therapist (OT/COTA) - Downers Grove, IL",0.9269,30837e6cad1eb5d2e96abc1e3342b1b4,"School-based Occupational Therapist (OT)- Madera, CA",0.9205
50e0b133a9535ee28f63fc920e807140,RN Staff Nurse - Medical/Surgical ICU,79d75e2838888d1018b362a930b01e3e,RN Charge Nurse - Medical Oncology,0.9326,55026b8b2fee9e5c992c325b3c755621,staff - Registered Nurse (RN) - Cardiac PCU - Progressive Care Unit,0.7895,d0fa6a5bec933f6dad0d8a61f8e69af4,staff - Registered Nurse (RN) - PICU - Pediatric Intensive Care,0.776,4db45d766e18fcb8795a4a45df35b446,staff - Registered Nurse (RN) - Float MICU - Medical Intensive Care,0.7484,8dbba49cd9e939bd0ab9ec713ae7be0b,RN Staff Nurse - Short Stay Unit,0.7481
35e091b7694c4de82b6578fbd2145648,Part Time Receptionist-Prior Dealership Experience is a PLUS,5218fbc23202118b8d517a6d1673b233,Receptionist,0.8071,98ed3922252721ea3aa2beb5fd59f732,Bilingual Spanish Retail Sales Consultant - NORTH HOLLYWOOD,0.8067,5de5ca33fedcc0dde103f35f934e981b,Receptionist,0.8058,c70f1493929df58bf50c7d10f0a33469,Receptionist- Part Time,0.8033,b374c49b2b93467fd95713326e91625b,Medical Receptionist,0.8015
